NAME,ADDRESS,VOTES,RATINGS,PHONENUMBER
RCC Enterprises,"No 10, 2nd Street, Adambakkam, chennai - 600088, Shanthi Nagar Near Jayalakshmi Theatre",2,3.5,+919152584431
Sri Amman Building Works,"No 84, Gandhi Market Corporation Complex Nsk Salai, Kodambakkam, Chennai - 600024",1,4.0,+919566126190
Apple Decors,"No 15, Mpm Street, Perambur, Chennai - 600011, Near Reavthy Store",3,5.0,+919677219760+917358645900
Vigneshwaran Painting Contractor,"No.6, 6th Cross Street, Pulianthope, Chennai - 600012, Near Tb Hospital",2,3.5,+919152869464
Sai Ajay Builders,"No 25, Muthiah 1st Street, Royapettah, Chennai - 600014, Lloayds Colony",0,,+919840483351
Shalini Painting Contractor,"No:16, L Block, Ramakamathu Puram, T Nagar, Chennai - 600017, Behind Joy Alukkas",46,4.8,+919152175469
Jayalakshmi Painting Contractor,"No 4, Loganathan Street, Adyar, Chennai - 600020, Near Ganapathi Ram Theatre & Malarvathi Hospital",1,5.0,+919791267006+917550236147
Varun False Ceiling Services,"No. 26 7th Old Block, Gothamedu, Saidapet, chennai - 600015, Near to Raj Theatre",2,5.0,+919152723627
Saradha Construction,"No 5 Vadivel Street, Pasumpon Nagar, Pammal, Chennai - 600075, Near Ganesh Kalyana Mandapam",2,5.0,+919152187787
Vinoth Painter,"No 97c, Pillyar Kovil Street, Virugambakkam, Chennai - 600092",1,5.0,+919551887363
R S J M Building Contractor,"No 40/50, Pari Street Avvai Nagar, Choolaimedu, Chennai - 600094, Near 15G Bus Depot",1,4.0,+919152794837
Muralikrishnan Painting Work,"new no 92; old no 40/7, Gandhi Road, Choolaimedu, Chennai - 600094, mmda govt school",0,,+919789073227
Siva Shelterss,"No 102, Mettu Street, Ayanavaram, Chennai - 600023, Opposite to Noor Hotel",1,5.0,+919884755656+919941067134
A1 Painting Systems,"NO -1 SOURASHTRA NAGER, Near Nungambakkam Railway Station, Choolaimedu, Chennai - 600094",3,4.7,+919840928744
Saraswathi Interior,"No:4 Natarajan Street, Pasumpon Nagar, Pammal, Chennai - 600018, Near By Emmanuel School",1,5.0,+919940259472
Venkatesh Painting Works,"No.26, Chinna Thambi Ellaiamman street, Mount Road, Chennai - 600002, Near Ellis Road",0,,+919176529236
Dinesh Kumar Painting Work,"No 2b, Jeevarathinam Main Street, Ksr Nagar, Ambattur, Chennai - 600053, Backside Of Shyam Mahal",1,4.5,+919786913040+919715203147
Ishvara Enterprises,Chennai - 600026,99,4.9,+919535252252
Raj Kumar P,"No 70/8, Samayapurathamman Koil Street, Choolaimedu, Chennai - 600094, Near Radha Kalyana Mandapam",0,,+919840850676
"Dolphin Travels, Chennai","No.2, South Tour Operators, Othavadai Cross Street, Chennai - 600001",1,2.0,+919841333338
Mmm Civil Works,"No 12, North Mada Street Sri Nagar Colony, Little Mount, Chennai - 600015, Near Court Back Side",0,,+919840550356
Bhakya Painting Work,"No 25/A, Bharathiyar Street Sakthi Nagar, Padi, Chennai - 600050, Near Siva Sakthi Cinima Hall",2,3.5,+919152170915
Genesis Wall Designer,"N0 75, Cox Colony, Chindatripet, Chennai - 600002, Near Fish Market",1,4.0,+919841548494+918870587294
Devipriya Painting,"No 17, Shenoy Nagar, Chennai - 600030, Billroth Hospital",0,,+919841887974
Monica Painting,"No 72/8 arathoon Road, Royapuram, Chennai - 600013, Back Side Kalmandapam Police Station",1,5.0,+919841335859+919962318382+919551694600
Balaji Plumber Contractor,"No, 4/588, Esai Tower, Velachery Main Road, Medavakkam, Chennai - 600100, Opp to Jeychandran",2,3.5,+919152653361
Hollywood In Design,"Old No 41 New No 12 Kilpauk Garden, Mandapam Rd, Anna Nagar, Chennai - 600040, New Avadi Rd",3,4.7,+919940182955+919840212439
Siva Painting Services,"No. 55, Dr Santhosh Nagar, Koil Street, Egmore, Chennai - 600008, Near Das Prakash",0,,+919600173614
Ramans Constructions,"No.105 1 St Floor, Muthuramman Kovil Street Thulasingapuram, St Thomas Mount, Chennai - 600016, Backside Of Chennai Tradecenter",5,4.4,+919152185733
R E Engineering Company,"Flat No S 1 Plot No 9 Sinmam Avenue, Kolathur, Chennai - 600099, Opposite Bus Terminus Vinayagapuram",0,,+919790757627+919940233393
Ragavan Hardwares,"Shop no 131, Mudichur road, Mudichur, Chennai - 600048, Near axis bank atm",1,5.0,+919962188978
S S K Painting & Interiors,"No A T 1 Kamalam Apartments, Lakshmi Avenue, School Road, Kolathur, Ponniammanmedu, Chennai - 600110, Near Ganga Theatre",4,5.0,+919884411474
Excellent Enterprises,"82 Flot No 5, Othavadai Steet, Kodambakkam, Chennai - 600024, Best Hospital Near",0,,+917092480901+918124185357
IMS Engineer & Contractor,"No:96, TS Krishna Nagar, 3rd Street, Mogappair, Chennai - 600037",2,3.5,+919152612441
Thai Decorators,"No 11, 8th Street Balaji Avenue Ammbal Nagar, Mangadu, Chennai - 600122, Near Mangadu Kamatchi Amman Temple",2,3.5,+919152608001
Colour Home,"No 24/3, Elango Adigal Street, Kodambakkam, Chennai - 600024, Near Indian Gas Company, Parameshwara Colony",0,,+919444158738+919043211174
sandeep construction,"No 12, sabapthy street, Ayanavaram, Chennai - 600023, near new avadi road",1,5.0,+919789374131
Shri Murugan Hardwares & Electricals,"No:7, Arya Gowda Road, West Mambalam, Chennai - 600033, Arya Goutha Road Junction",7,3.6,0442483289804424720520+919384832898
Jai Ajay Interior Decorators,"Plot No.7, Shri Bharathi Nagar, Veerapuram Main Road, Vellanur, Avadi, Chennai - 600062, Near Vel Tech College",2,3.5,+919152522557
Colour Rays,"No 11/345, Kannadhasan Salai, Mogappair East, Chennai - 600037, Back Side Velammal School",6,4.8,+919152181906
Sabari Interiors,"No 80, 5th Cross Street, Shenoy Nagar, Chennai - 600030, Behind K6 Police Station, Jyothi Ammal Nagar",0,,+919025575157+917010970584
ASM Enterprises,"No:72/L, Arcot Road, Vadapalani, Chennai - 600026, Raahat Plaza-Opp to Vadapalani Bus Depo",16,4.8,+9180566663369840223379
Royal Painter,"No:27, A Kalyanapuram, 2nd Street, Vyasarpadi, Chennai - 600039, Near By Market",1,5.0,+919500182425
M S Painting Contractor,"No 21 7th Block Old Housing Board, Gothamedu, Saidapet, Chennai - 600015, Near Raj Theatre",1,5.0,+917092060611+919940134989
Prasanth Aluminium & Wood Work,"No 19, Alagiripuram 2nd Street, Kodambakkam, Chennai - 600024, Near Ponmani Maligai",0,,+919941576038+917401619317
Aishwarya Interiors Chennai,"No 6, Canal Bank Road, Mylapore, Chennai - 600004, Near SAI Baba Temple",7,4.1,04445491374+919551291379+919551291374
Gigi Painting Contractors,"275, Purasaiwakkam High Road, Kellys, Chennai - 600010",0,,04426421264
Metalmax Trading Zone,"No.14, Kesava Mudhali Street, Tondiarpet, Chennai - 600081, Opp Agasthiya Theatre",4,4.4,04425961983+919962166609+919444001983+918939729029
Mars Construction,"No 17, Kodikaatha Kumaran Street Mgr Nagar, K K Nagar, Chennai - 600078, Near Data Udipi Hotel",7,4.1,+919152178518
Kumaran Painting Contractor,"No.17B, Aathikesavaperumal Koil Street, West Mambalam, Chennai - 600033",0,,
M R K Painting Work,"No 36c, Mandapa Road, Kotturpuram, Chennai - 600085",3,4.5,+919152211789
Shree Interiors,"7/18, V.v. Koil Street, Gandhi Nagar, Ekkattuthangal, Guindy, Chennai - 600032, Near Hilton",3,4.8,+919791018402+919176279318
Velfur Associates,"No 1696/2 H Block, 5th Street, Anna Nagar, Chennai - 600040, Near Santhosh Super Market",10,4.6,+919152895933
Ad Constructon,"4/7, Gandhi Nagar, Ambal Nagar Main Road, Ekkaduthangal, Chennai - 600032, Near Padaveddamman Koil",1,5.0,+919003298076+918056253209
Sai Kumaran Enterpriess,"No, 4/270, E186, Kalainger Nagar, Medavakkam, Chennai - 600100, Near Vellakal Mosque",1,5.0,+919152602999
Chennai Housekeeping,"No 8/7, Vanniyar Mettu Street, Iyyappanthangal, Chennai - 600056, Near Bus Depot",32,4.5,+919152191472
Hebron Electrical Works,"No 31/27, North Park Street Venkatapuram, Ambattur, Chennai - 600053, Near ICICI Bank",6,4.0,+919152192125
Wall Shine Decors,"No 4/3, Kabilar Street, Ambal Nagar-Ekkaduthangal, Chennai - 600032, Opposite Hyundai Car Show Room",1,4.0,+917358231233
Inbaraj R A,"No 132, Ayanavaram, Chennai - 600023, T V Nagar Behind Esi Hospital",0,,+919941784049
R K Constructions,"#15, Srinivasa Perumal Sannadhi Street, Royapettah, Chennai - 600014, Opposite To Royapettah Govt Hospital",10,3.4,+919841661566
Balasubramaniam Civil Contractor,"No 18/3, Ramarao Garden 3rd Street, Royapettah, Chennai - 600014, Near Gill Adarsh School",3,3.8,+919152178780
Jj Decorators,"3, Owlia Street 7th Lane, Mount Road, Chennai - 600002, Behind Devi Theater,",0,,+917299672288+917708308264
Excellent Paintng Works,"N0 422, 2nd Avenue, Anna Nagar, Chennai - 600040, Near By Anna Adharsh College",2,3.5,+919152757857
Moorthy,"Egmore, Chennai - 600008",0,,+919840895329
Om Annai Painting Works,"No 33/66, Saidai Duraisamy Nagar, Kotturpuram, Chennai - 600085, Near Anna Library",2,4.8,+919152804796
Govardhan Electrical And Plumbing Works,"No 28, Murugappa street, Triplicane, Chennai - 600005, near by ice house police startion",1,5.0,+919710726646
Shree Gurudev Gypsum And Interiors,"No-125, Poonamallee High Road, Maduravoyal, Chennai - 600095, Near Muthoot Finance",1,4.5,+919152295965
M S Constructions,"59/51, e pethaniaa nagar 5th street, Valasaravakkam, Chennai - 600087, nearby ann hospital; akshya bhavan hotel nearby",1,5.0,+917397398788+919444013609+919444063071
Maneeshwer Enterprises,"No 50/2, Vaniyamathi Street, Mandaveli, Chennai - 600028, Near Mandaveli bus stand",2,4.8,+919840787974
Teamwork Solution And Painting Contractor,"No 854, 27th Cross Street Tp Chatram, Shenoy Nagar, Chennai - 600030, Opposite Pachaiappas College",0,,+919884498614+919962737190
Ravi Plumbers,"No 122, Bs Moorthy Nagar, Ambedkar College Road, Pulianthope, Chennai - 600012, Perambur Barracks Road",2,3.3,+919152952298
The Studio Verve,"#6, Lakshmi Street, New Avadi Road, Kilpauk, Chennai - 600010, Firtness 1 begining of the lakshmi street",1,5.0,04442857829+919176545219
Sastha Care Homes,"8/85, othavadai street, west saidapet, Saidapet, Chennai - 600015, near kadumpadi amman temple,",1,4.5,+918056305577+919962951924
Happizo,"No.10, 2nd Lane, Shastri Nagar, Adyar, Chennai - 600020",2,3.5,+919152442851
Dass Painting Contractor,"No 318, Nungabakam High Road Garden City Apartment, Nungambakkam, Chennai - 600034, Opp to Rbl Bank",0,,+919080477167+919600763488
JP Build Care,"no 54/13, vijayaraga puram 3rd street, Saligramam, Chennai - 600093, back side to big bazar",3,4.8,+919677253418+918012855873
Sri Sakthi Interiors,"No 46, Medavakkam Main Road, Madipakkam, Chennai - 600091, near kumaran theatre",3,3.7,+9198411802548668048422
Murugeshwaran,"no 3 ameerjohn street, Choolaimedu, Chennai - 600094, near high road",0,,04424726544+919444112644
ismail foundations,Chennai,0,,+917358427737
Anand Painting Works,"No : 5/2, Gulab Abbas Ali Khan 7th Street, Thousand Lights, Chennai - 600006, Near Model Cross Street",2,4.0,+919551761414+919710279176
Ssathyasai Construction,"49, New Colony, 12th Main Road, Anna Nagar, Chennai - 600040, Shanthi Colony",2,4.3,+919381804200
Velayutham Painting And Housekeeping Services,"No 146, Giriappa Road, T Nagar, Chennai - 600017, Opposite Bharathiraja Hospital, Near Amman Kovil",0,,+919994486703
Heven Associates,"No 20, Vimala Enclave, 2nd Floor, 7th Street, Raghupathi Nagar-Nanganallur, Chennai - 600061, Near Yelooor Amman Temple",22,4.3,+919152404689
Vijay Hardware Mart,"No 77, Porur, Chennai - 600116, Pariyar Park",1,4.0,+919962508889
ASD Painters,"No 46/49, Durgai Amman Kovil Street Mgr Nagar, K K Nagar, Chennai - 600078, Near Data Udupi Hotel",4,5.0,+919176863686+919043235363+919551172241
Brush Magic,"No 4, Periyar Pathai, Choolaimedu, Chennai - 600094, Near Fish Market",3,5.0,+919841540666+918124377788
Passion Creators,"Old No 2c New No 14, Neiniammall Street, Krishanapuram, Ambattur, Chennai - 600053",8,4.1,+919152724022
Urbanclap.com (Branch Office),"Flat No 2 C Sagar Amar Court, G N Chetty Road, T Nagar, Chennai - 600017",13,3.7,
Sai Narayana Constructions,"No 41/3 Sairam Flat, Thilagar Avenue 5th Cross Street, Madipakkam, Chennai - 600091, Near Kumaran Theater",1,5.0,+919152823199
Janani Decorators,"Old No 15, New No 4, Ulagaappa Street, Chindatripet, Chennai - 600002, Near Jain Guru Temple",0,,+919840489667+919003265568
KSK Sabeson,"No 4 / 20, 1st Cross Street Royala Nagar, Ramapuram, Chennai - 600089, Near Arasamaram,",1,4.0,+919152194601
Selva Kumaran Bulider,"No.1, M.H.colony, Choolaimedu, Chennai - 600094, opp bata showroom",0,,+919841220093
Ilamathy Constructions,"10, Muthumariyamman Koil Street, Greames Road, Chennai - 600006, Near Magesh Garden",1,5.0,+919152385490
JCS Constructions,"No.131/1, Kutchery Road, Mylapore, Chennai - 600004, Police Station",5,4.7,04442021847+919840912233+919884343512
Kevin Enterprises,"No-50, AKR Nagar, Eri scheme, Mogappair East, Chennai - 600037, Near-banyan",2,3.5,+919152925194
Nirmal Paints,"No 28/71/73, Patel Road, Perambur, Chennai - 600011, Opposite to Srinivas Priya Hospital",0,,04426625726+919940277616
Princy Agengy,"No 1, Srinivasa street, Chetpet, Chennai - 600031, opp shoppers stop",0,,+919940482825+919791747057
Bpn Construction And Interiors,"Vels Nest Apartment 1st Floor No 4a&4b Flot No F4, Guberan Nagar Extension 5th Street, Madipakkam, Chennai - 600091, Ss Super Market",32,4.8,
Azhagar Painting,"no.12, MGR street, Tharamani, Chennai - 600113, anjineyar kovil back side",1,5.0,+919152193224
Jayam Painting Works,"54/21, 54 Th Street, K K Nagar, Chennai - 600078, Near Amman Koil",9,4.5,+919841156834+919840400534
Soundarajan,"No 11/5, Tamilan Veedhi, Choolaimedu, Chennai - 600094, Near G G Kalyana Mahal",0,,+919384712269+919003129174
Damodaran Painting Contracts,"1, rani anna nagar, navalar street, Arumbakkam, Chennai - 600106, mmda water tank backside",0,,+918056131856+919884065340
Sri Soundara Vinayagar,"No 3/2, Balu Street, Mambalam High Road, T Nagar, Chennai - 600017, Near Kodambakkam Railway Station",0,,+919840340134
JAL AJAY Painting Contractor,"No 3/1118, Gandhi Nagar 10th Street, Kovilambakkam, Chennai - 600129, Opposite School, Gandhi Nagar",6,3.4,+919514523428+919677064559+919677024181
Dinesh Interior,"Plot No 73, 1st Floor, 6th Street, Saraswathi Nagar, Adambakkam, Chennai - 600088, Near AGS COLONY Bus Stop,",10,4.9,+919152829943
Global Walls,"No 25, Moorthy St Ambedkar Nagar, Thirumullaivoyal, Chennai - 600062, Near Mangalam Marrigae Hall Or Vengateshwara School Nxt Street",15,4.7,+919789031071+918015390310
Nagamuthu,"no 39 kabilar street, m g r nagar, K K Nagar, Chennai - 600002, tata udupi hotel",1,4.0,+919841494867
S.s Colour Tones,"No 2/1, Ambethkar Nagar, Gothandam Salai, Nandambakkam, Kunrathur, chennai - 600069",4,4.9,+919710277434+918939649465
Om Sakthi Electricals & Hardwares,"No.40, SBI Colony Main, Mgr Road, Nanganallur, Chennai - 600061, Opp Syndicate Bank",7,4.4,+919152171856
Honey Painting Works And Contractors,"149, Kunoor High Road, Ayanavaram, Chennai - 600023, Ayanavaram Bus Deppo",0,,+919551199117+919840033562+919003287060
Chennai Painters,"No 39, 4th Street Bharathi Eswarar Colony, Kodambakkam, Chennai - 600024, Near EB Office",59,4.0,+919551551999+919094276816
Sree Painting Service,"ASHOK NAGAR MAIN ROAD, Kodambakkam, Chennai - 600024, Kodambakkam Power House Bus Stop",0,,+917418380495
Jaya Enterprises,"No 10, Muthumariamman Koil Street, Greems Road, Thousand Lights, Chennai - 600006, Near Apollo Hospital",3,2.3,+919677157690
H A Fabrication,"No 25, Perumal Street, Mount Road, Chennai - 600002, Near To Hikkim Badams",0,,+919840408093+919952094793
Kumar paints,"201/155 kamarajapuram, Nungambakkam, Chennai - 600034",0,,+919962471372
HRC Projects And Services,"No.139, 3rd Main Road, Senthil Nagar, Kolathur, Chennai - 600099",2,3.5,+919152898153
Anbey Sivam,"No 112 Rani Anna Nagar, Halls Road, Kilpauk, Chennai - 600010, Near Balavihar",0,,+917904619194+919710366559
A R Wall Designers,"No 6 B, Vedhagiri Maistry Street, Chindatripet, Chennai - 600002",0,,+919500054156
Intext Colours,"New No 46 Old No 40 sri Parthas Apartments, Singarachari Street, Triplicane, Chennai - 600005, Opposite Ragavendra Kalyana Mandapam",6,4.9,04428445195+919962736635
Ramarao House Painting,"7/28, JAMEES SECOND CROSS, Poonamallee, Chennai - 600056, OPP TO GOVT RATION SHOP",0,,+919566112103
Rajalakshmi Painting Contractors,"No 20/1, 3rd St Krishnadass St, Perambur, Chennai - 600011, Mangalapuram",3,5.0,+919994262722
Appu Smart Paint,"No 10/23, Rangoon Street, Thousand Lights, Chennai - 600006, Near British Council",0,,+918778928825+919790807032
Balaji Enterprises,"no ; 6/17, Rama samy garden, Adyar, Chennai - 600020, near sankara school, ponniamman kovil",2,4.5,+917299333999+919941117177+919080573115
Af Builders,"no:34, Narasimareddy Nagar 3 Road Street, Kodungaiyur, Chennai - 600118, opposite to gandhi selai",0,,+919941986334
Om Shanthi Painting Contractor,"27/1, Nagathanamman Kovil 2nd Street Abiramipuram Vairamkulamthangal, Ambattur, Chennai - 600053, Opposite Amma Hotel",2,4.8,+919940625828+919080224125
R3 Associates,"No 25, Voc Street, Anna Nagar, Chennai - 600040",1,4.5,+919842499936
Raghavendra Home Service,Chennai,0,,+918056043564
World Texture,"372, 3rd Avenue, Nsk Nagar, 20th Street, Arumbakkam, chennai - 600106, Near to Anna Arch",6,4.1,+919152838880
Asia Constructions,"No 4/440, 3rd Street, S Kolathur, Chennai - 600129, Indrapuri",1,4.0,+919152161578
Rajakumar R,"No 1/16, 2nd Kuruku Theru, Choolaimedu, Chennai - 600094, Near HP Gas Godown, NGO Colony",0,,+919551210778
Dream Interior Work,"No 18/33, Perumal Koil Garden Main Street, Sowcarpet, Chennai - 600001, Near Saraswathi Amman Nursury School",4,4.6,+919152225151
Woodies Constructions,"No 8 & 9, PBS Anbalayam Vanasakthi Nagar 4th Extension Murugan Koil Street Kolathur, Kolathur, Chennai - 600099, Near Murugan Temple",1,5.0,+917358215875
BPN Interiors,"Flat No F4 Vels Nest Apartment 1st Floor No 4A & 4B, 5th Street, Madipakkam, Chennai - 600091, Guberan Nagar Extension",2,5.0,+919152172961
Acro Interior Decorator,"No 3/5, M V Batharn Street, Park Town, Chennai - 600003, Near By Kurinji Hote",2,4.3,+919003559934+918248343537
JK Constructions,"No 52, 7th Crooss Street, Shenoy Nagar, Chennai - 600030, Thiruvika Park",3,3.7,04426214942+919840787820+919003016090
Jaico Electricals,"No 4 Mogambigai Complex, Lady Desika Charry Road, Shop No 20 1 St Floor, Mylapore, Chennai - 600004, Back Side Kavery Hospital",2,3.5,+919152804525
Radhika Painting Art,"No 15/8 7th Street, Rangarajapuram Main Road, Kodambakkam, Chennai - 600024, Near Power House",0,,+919962517295
Swetha Painting Contractors,"No 6/127, Choolaimedu High Road, Choolaimedu, Chennai - 600094, Behind Meenakshi College, Subedar Garden",0,,+919941533717+917358091470
Dhanalakshmi Timber Depot,"Tambaram West, Chennai - 600045",1,5.0,04422386905
Green Cloth Acp Work,"No 11, C D N Nagar 14th Street, Nerkundram-Koyambedu, Chennai - 600107, Opposite Maduravoyal Mgr College",2,3.5,+919152332025
Asian Paints Home Solutions,"New No 36, Old No 35, 1st Floor, Station Border Road, Kodambakkam, Chennai - 600024, Near Kodambakkam Railway Station",478,3.9,044421385840444218207018002095678
Om Sakthi Constructions,"No : M13/11, Navabarath Colony, Besant Nagar, Chennai - 600090, Near By Church Road",2,3.5,+919152601604
Sakthi Painting Contractors,"No 4/274, 4th Streetreet, Muthumariamman Koil Street, Anna Salai, Palavakkam, chennai - 600041, Palavakkam Beach",1,5.0,+919152457420
Madhan Tile Works,"No 983, 25 Street, Thandavaraya Chatram-Shenoy Nagar, Chennai - 600030, Oppt Pachayappas College",2,2.3,+919444846192+918668187726
N K Construction (Not Intrested),"No 13/5, Adyar Bridge Road, Adyar, Chennai - 600020, Opposite Malar Hospital",1,5.0,+919003230822+919884193123
paintpro.in,"T Nagar, Chennai - 600017",0,,+919930860969
Sri Balaji Ceramic,"70/85, K.R Koil Street, West Mambalam, Chennai - 600033, Near Srinivasa Theater",5,4.4,+919152692229
Sabeer Ansaria,"150, pursavakam high road, Kellys, Chennai - 600010, near by uninon bank,mercury hardware shop",0,,+919884223257
Kumaraguru Interior Designer,"No:50, Navalar High Road, Devaraj Nagar, Saligramam, Chennai - 600093, Near Dasarathpuram Bus Terminus",1,4.0,+919152332423
G J Krishnaa Carpenter,"No. 81 / 56, Kuttyappan Gramani Street, Pumping Station Lane, Chennai - 600010",0,,
King Judah,"No Q9, Mmda Colony Maraimalai Adigal Street, Arumbakkam, Chennai - 600106, Near Water Tank",5,4.3,+919152175631
Manigandan Builders,"No 43/4, Bazar Street, K K Nagar West, Chennai - 600078, Opposite to Ambal Medical",4,5.0,+919444114637
Modeling Painting Contractors,"No 5/12, Ponnuswamy Naciker Street, Ramapuram, Chennai - 600089, Opposite to Srm College",22,4.2,+919152191663
Om Sakthi Electricals & Hardwares,"No : 40 SBI Main Colony, MGR Road, Nanganallur, Chennai - 600061, Oppostive Syndicate Bank & Velan Theatre,",7,4.4,+919152453631
Max Home Services Pvt Ltd,"No 150 H-1 Block, Pilliyar Koil Street, Jafferkhanpet, Chennai - 600083, Nutech Indra",2,3.5,+918940590555
Az All Your Needs,"No.2333, E Block, Ellai Amman Koil Street, West Mambalam, Chennai - 600033, Near By Srinivasa Thetare",0,,+919840881007+919600101229+919566192533
Beauty Colors,"18 D BLOCK RV NAGAR, 69TH STREET, Jafferkhanpet, Chennai - 600083, JAFFARKANPET METRO WATER OFFICE",2,5.0,+919710461629+919092823899
Dreams Colors,"No 23, 1st Street Indira Gandhi Nagar, Vyasarpadi, Chennai - 600039, Near Bharathi Store, Indira Gandhi Nagar",5,4.9,+919840413871+919840319606
Kumaran,"no.72, avvai puram, Shenoy Nagar, Chennai - 600030, pachaippas back",0,,+919952919197
DSR Hardware Centre,"No .41, Medavakkam Main Road, Madipakkam, Chennai - 600091, Near Kumaran Theatre",8,4.1,0444217726304422247263+919884132000
Winmax Creative Solution,"No 24, LAL Bagadhur Sastri Street, Tambaram East, Chennai - 600059, Anandhapuram Near S O S Childerns Village",0,,+919884316677
Venkatesan Painting Works,Chennai,0,,+917358551668
Painters Park,"No 57, 2nd Street Nehtaji Nagar, Chrompet, Chennai - 600044, Near By Govt School",4,3.6,+919152185844
Shalom Painting Contractor,"No 2, Mgr Salai 5th Cross Street Saligaram, Vadapalani, Chennai - 600026, Near Vishnu Avenue",5,3.6,+919152924805
RAMESH,"No 2/20 Giriappa Road, Giriappa Road, T Nagar, Chennai - 600017, Near Cloudline Hospital",0,,+919789825839+919655768459
Real Painting Contractor,"no 23, Anna nedumbathai, Choolaimedu, Chennai - 600094",0,,+919566010105
Jak Enterprises (India) Pvt Ltd,"No 11, Drivers Street, Pudupet, Chennai - 600002, Near Egmore Eye Hospital",1,5.0,04428415740+919003100900+919003100900
AAA Construction,"No 9/300 Avenue 2, Nagalakshmi Nagar, Sithalapakkam, Chennai - 600129, Near Aarasakani Bus Stop",5,4.1,+919152649624
Supreme And Polymers And Chemicals,"No 67, Pillar Kovil Street Golden Charge Nagar, Mogappair, Chennai - 600037, Near Thai Moogambagi Dental College",1,5.0,+919445048417+919940250222
Smp Residential Services,"No.62/106, Chamiers Road, Alwarpet, Chennai - 600018, Near Moopanar Palam",2,3.5,+919152927077
Kanitha Constructions,"1/61, Pillayar Koil Street, Pazhanthandalam, Chennai - 600044, Nearby Pazhanthandalam Bus Stop",1,5.0,+919790888621+918946057852
Shakthi Enterprises,"No 2, 15th Street, Nanganallur, Chennai - 600061, Nehru Colony Near Independence Park",3,3.0,+919790906505
Inzen Co,"Branson Garden Street, Kilpauk, Chennai - 600010, Near Sindhi Model School",10,4.7,+919152798515
N D Arasu Painting Contractor,"No 7 1st Street, Devi Karumari Amman Nagar, Mettukuppam, Nerkundram-Koyambedu, Chennai - 600107, Near M R School",3,4.5,+918870502419+918608111007+918124349196
Albert T P,"Flat No 5 1st Floor Venkat Enclave No 28/85, Vanniar Street, Choolaimedu, Chennai - 600094, Nearby Vijayalakshmi Jewellery,",2,3.5,+919152604621
K D Services,"No 8/23, Vinobhaji Nagar 10th Street, Hasthinapuram-Chitlapakkam, Chennai - 600064, Near Hasthinapuram Bus Stop",48,3.9,+919152170796
Arunachala Group,"No 11, 8th Street Dr Radhakrishnan Slai, Mylapore, Chennai - 600004, Opposite To EV Kalyani Hospital",1,5.0,+919884080884+919884180802
Sgp Builders,"38 B, SUBASH CHANDRABOSE STREET;THIRUVALLUVAR NAGAR, Perungudi, Chennai - 600096, Nearby Tcs; Perungudi Railway Station Nearby",0,,+919500130525+919445530525
Nila Interiors Innovaters,"No:56, Voc Street-Ramapuram Road, Alwarthirunagar, Chennai - 600087, Behind Megamart",10,4.4,+919790767611+919514266888
R R Power Tools,"No 2/75, Puzhendhi Salai, 4th Street, Jj Nagar, Mogappair East, Chennai - 600037, Near By Mmm Hospital",2,3.5,+919444797077+919003187844
Corabell Creation,"#1, Mangalapuram 5th Street, Chetpet, Chennai - 600031",0,,04428366910+919884433142
D G P Foundations,"No 14 TNHB Shopping Centre, 1st Avenue, Adyar, Chennai - 600020, Shastri Nagar Opp to Telephone Exchange",2,2.8,04424466599+919840506599
Greedom Enterprises,"No 89, Tvk Nagar 10th Street, Pulianthope, Chennai - 600012, Near Perambur Barracks Road",3,4.3,+919003205810+918072868656
A To Z Painting Contracors,"No 62/45, Vallalar Street, Adambakkam, Chennai - 600088, Opposite HDFC Bank",6,3.6,+919152176390
Punitha Painting Contractor,"No 430, 14th Cross Street PV Chathram, Shenoy Nagar, Chennai - 600030, Opposite to Shoba Jewellery",0,,+919941144543
Sri Chakraa Promoters,"No-7A, Shalimar Garden 9th Street, Injambakkam, Chennai - 600115, Valmeegi Opp to VGP",1,5.0,+919152831270
Sugana Painting,"25, Parthasarathy Street, Purasawalkam, Chennai - 600084",0,,04426403519
Arvind Interior Works,"No 95, Mettu Street, St Thomas Mount, Chennai - 600016, Near St Thomas Church",1,5.0,04432975546+919941626857
Srinivasaka Enterprises,"No 122, Rajakilpakkam, Chennai - 600073",289,4.2,+919152316586
S A Interior,"No 39/40 Block, Mullaimaran Nagar, Pattinappakkam Foreshore Estate-Raja Annamala, chennai - 600028, Near EB Office",1,5.0,+919152879832
Bcv Enterprises,"No 65, Maduranaicker Street, Maduravoyal, Chennai - 600095, Near Bharathi School",10,4.7,+919152164346
Ok Electricals,"No 69 Kamarajar Avenue, 1st Street, Adyar, Chennai - 600020, Near Nalli Silks",2,3.8,+919382674688+919025333999
MJ Construction,"No 5 Sivasubramaniaya Nagar, West Periyar Pathai Arumbakkam, Arumbakkam, Chennai - 600106, Near MMDA Signal",3,4.8,+919841757151+919080575191
Sai Bala Construction & Interiors,"No 3 G2 Flat, G2 Flat VOC Nagar, Third Main Road, Velacheri, chennai - 600042, SRM BUILDING PADMAVATHY COLONY",3,2.0,+919152802968
Krishnamoorthy,"No 41/42, Kathiravan Colony, Shenoy Nagar, Chennai - 600030, Near Thiruvika Nagar Park",0,,+918144613865+919940409808
M A Polishing,"No 19/77, Siva Shanmugapuram 1st Street, Purasawalkam, Chennai - 600084, Near Otteri Crematorium",1,5.0,+919790860942+917401325580
